départ;arrivee;transport;temps;emission;prix
Paris;Lyon;Train;120;2.1;60
Paris;Marseille;Avion;90;120;150
Lille;Bruxelles;Train;40;0.5;25
Nice;Monaco;Bus;45;0.3;10
Lyon;Nice;Train;180;3.2;70
Toulouse;Bordeaux;Bus;150;1.1;15
Strasbourg;Nancy;Train;70;1.0;30
Rennes;Nantes;Bus;90;0.8;20
Grenoble;Lyon;Train;100;1.5;40
Paris;Lille;Train;60;1.7;50
Valenciennes;Lille;Bus;15;0.2;5
Valenciennes;Paris;Train;120;1.5;40
Valenciennes;Lyon;Train;240;2.0;80
Valenciennes;Marseille;Avion;180;220;200
Valenciennes;Toulouse;Train;200;1.6;60
Valenciennes;Bordeaux;Avion;160;1.8;100
Valenciennes;Strasbourg;Train;180;1.4;50
Valenciennes;Nice;Avion;200;2.0;120
Valenciennes;Grenoble;Train;220;2.5;90
